Age,Income,LoanAmount,CreditScore,Defaulted
58,77244,14829,649,1
48,121885,9022,704,0
34,91778,2000,653,0
62,61849,22072,712,0
27,100030,20894,655,0
40,59798,12749,679,1
58,20000,15535,650,0
38,44797,19127,732,0
42,23230,2499,742,0
30,61212,10767,688,0
30,70460,21354,701,0
43,111910,4965,627,1
55,78173,17348,685,0
59,64522,4147,697,0
43,90735,18731,831,0
22,20000,14714,644,0
41,75890,2078,773,0
21,89271,24317,749,0
43,33035,9123,714,0
63,98593,8517,787,1
49,78462,16604,718,0
57,59617,24189,719,0
21,85819,6873,697,0
40,126767,15493,761,0
52,74546,18430,754,0
31,76205,20544,668,0
41,58515,16411,634,0
63,48753,12063,689,0
44,90758,8379,659,0
46,48597,15689,696,1
61,71789,6422,761,0
47,58058,2000,677,0
35,81974,18492,697,1
34,78341,22231,702,0
63,95938,2000,742,0
22,57249,6922,587,0
56,63253,19953,669,0
26,45530,31459,710,0
40,58892,15166,760,0
28,79432,9175,675,1
58,88924,13536,606,0
37,46945,25999,730,0
23,91740,9832,668,0
44,103890,8606,640,0
33,80335,11138,668,0
28,116919,7373,690,0
45,50655,15981,669,0
21,38883,27997,589,1
39,25531,17584,744,0
47,107401,12981,763,0
26,86359,12665,732,0
63,68610,2494,643,0
27,76999,22064,689,0
54,41862,14377,699,0
33,131143,13556,729,0
36,73230,40544,733,0
55,72734,17390,663,0
59,88144,8985,704,1
23,82025,11589,722,0
21,75597,24187,772,0
25,50238,15906,735,0
61,81786,3493,739,0
23,117050,22353,704,0
48,103635,9654,770,0
37,109829,29986,720,0
45,57219,23640,656,1
63,45259,11421,770,0
53,66855,25248,734,0
29,71393,15542,677,0
55,97354,21822,676,0
33,27688,18877,714,0
50,108238,8229,723,0
34,66049,9851,709,0
27,59327,23239,715,0
33,44697,12321,784,0
42,28628,11770,753,1
59,90579,7359,709,0
40,71832,18388,747,0
35,37750,31500,648,1
64,37623,6459,719,0
37,61605,15193,790,0
43,111725,26297,689,0
45,63510,14362,657,0
44,32421,18618,667,0
64,63856,6500,645,0
60,63181,18426,660,0
48,20000,13502,681,1
34,68642,22885,629,0
64,64226,24499,700,0
20,87405,35716,745,1
44,116223,19637,654,0
26,98164,17606,775,0
28,63277,16555,725,0
43,42336,12174,751,0
20,134333,17707,667,1
63,71480,12636,742,0
27,70348,16347,645,0
43,69396,25540,744,0
30,74952,6947,708,0
36,66390,24119,727,0
27,55658,25536,641,1
54,56328,14055,655,0
54,69181,2000,729,0
52,56414,10137,652,0
24,52178,25375,723,0
61,72660,14817,631,0
58,63625,7005,742,0
60,107599,10961,638,0
47,20000,21724,727,0
26,97287,19373,731,0
28,101152,13088,665,0
27,20000,12065,729,0
31,61432,11865,713,0
53,60713,7620,673,0
52,34812,27923,649,1
42,50554,12421,601,0
43,42235,24737,717,0
56,113806,27170,621,0
54,93391,22986,704,0
63,101788,11547,686,0
59,88041,18229,733,0
41,41773,14806,684,0
46,56886,7770,683,0
54,82234,17594,736,0
20,39446,5567,716,0
54,87824,24501,715,0
56,63991,11283,723,0
33,60629,16609,623,0
22,87773,17266,737,0
20,81106,12928,730,0
24,60975,19693,649,0
45,98983,11200,687,0
33,42973,21970,698,0
58,85398,4232,693,0
46,84827,16011,716,0
28,62261,30511,771,0
34,78153,6997,754,0
34,38722,9578,634,0
45,93100,19111,731,0
61,65377,16436,766,0
32,56931,17805,719,0
51,96225,18913,754,0
58,52391,20077,800,0
51,34788,23877,751,0
23,31084,18278,712,0
49,85150,13069,752,0
56,37989,20380,707,0
42,113869,30199,701,0
58,20000,13938,682,0
64,112411,7203,778,0
34,75275,23856,659,0
62,67582,14036,776,0
48,56377,2000,724,0
55,79978,21779,630,0
32,69059,10717,718,0
51,97582,14275,594,0
26,72855,17655,731,0
41,73757,16523,744,0
47,60909,20675,670,0
21,68576,11516,706,0
61,77695,19104,797,0
64,27245,12923,674,0
25,36295,20910,647,1
47,88581,19922,774,0
47,74271,7516,798,0
63,65400,23687,700,0
63,70460,10712,750,0
39,78689,21464,767,0
49,56506,17938,662,0
30,50542,29705,675,1
47,74896,13212,761,0
44,45540,12205,784,0
58,80206,14844,728,0
52,27435,12574,656,0
20,95728,21399,799,0
46,81814,2069,673,0
32,76400,6570,683,0
60,94567,6457,717,0
22,111636,22602,777,0
58,95359,28684,742,0
25,23978,14164,720,0
27,38010,13649,723,0
46,54379,15560,702,0
28,70652,24295,727,0
56,82941,7581,573,0
52,51856,16906,685,0
61,74669,22801,712,0
63,51115,19008,642,0
43,54712,16516,719,0
34,34833,23008,689,0
51,46919,2000,787,0
51,36207,20423,778,0
43,45603,9767,676,0
60,96341,2000,692,0
31,46265,19089,696,0
58,135809,25989,677,0
21,82332,13900,709,0
22,74620,22622,662,0
56,48541,27898,643,1
36,87507,25519,731,0
21,55609,28119,731,0
21,73050,20937,659,0
47,134002,15603,744,0
42,67598,2184,668,0
56,98731,13031,712,0
51,52420,8254,741,0
52,69125,32367,698,0
20,114270,13592,722,0
38,54325,15985,674,0
21,115311,19411,690,0
63,87693,15348,689,0
45,55938,28560,662,1
51,85810,10018,691,0
25,94313,16556,622,0
51,85545,9060,675,0
23,30744,4439,685,0
30,51821,10105,687,0
36,63812,14703,687,0
57,68139,11565,696,0
43,85516,9460,723,0
24,74442,3749,743,0
53,36616,14335,667,0
25,79504,2962,639,0
41,85264,21080,647,0
30,83994,15659,675,0
35,97019,3339,682,0
52,90848,12526,661,0
28,81479,8982,635,0
25,68245,17553,677,0
35,28475,25723,709,0
48,80740,2000,729,0
22,75192,15920,672,0
39,76789,13718,679,0
55,38081,20370,653,1
38,42973,16705,698,0
45,96328,8984,657,0
22,69011,12447,728,0
38,87037,8631,610,0
39,70707,23608,682,0
51,70743,15170,715,0
26,93457,30209,709,0
60,57098,14514,834,0
52,72403,9332,717,0
59,58443,2890,649,0
58,59137,2000,695,0
37,62270,2326,611,0
59,75553,17137,695,0
20,58031,19069,658,0
30,101393,2350,745,0
47,47634,22160,672,1
44,65328,11135,694,0
42,59006,16174,668,0
50,106174,27897,786,0
49,74913,22174,683,0
61,95796,12851,791,0
54,32860,7870,740,0
26,76676,2000,724,0
35,92240,9246,718,0
45,72057,13310,719,0
21,96637,7102,603,0
20,57067,13949,686,0
31,105233,15614,742,0
24,127472,13201,697,0
56,60929,9799,629,0
51,58862,16349,697,0
28,106334,18535,785,0
60,109489,6276,762,0
